"","ID","year","location","pm25v0_expo_day","pm10v0_expo_day","no2pred_expo_day","o3_8hpred_expo_day"
"10196",665,2010,"DK022",136.21903939228,6.52694805177037,0.494655356343951,1.16113621132494
"10197",665,2011,"DK022",144.445595026385,19.3825488285944,2.89505550742033,1.63976278900083
"10198",665,2012,"DK022",114.716831837239,2.09151703246641,1.72894219902654,1.05071251640985
"10199",665,2013,"DK022",96.523850695088,1.80086129363659,3.19226616381262,0.337007193050975
"10200",665,2014,"DK022",118.597914734502,1.6439710236629,0.344011150569184,3.08568843856394
"10201",665,2015,"DK022",68.4767869900483,1.60023699160125,0.12135645082005,1.37201420458922
"10202",665,2016,"DK022",57.8114852983337,0.37031178660986,3.28555848288531,1.90125365570699
"10203",665,2017,"DK022",67.9279707432428,3.87145264856286,0.755276656713095,0.339947564499324
"10204",665,2018,"DK022",77.5675571120457,2.54624928183879,0.00225119012591226,12.5022363782589
"10205",665,2019,"DK022",75.5005214954688,1.05753959044365,1.96462877224802,6.63625350437087
"10206",665,2020,"DK022",46.2769601454076,4.79730374828107e-05,0,5.17635335346961
"10207",535,2003,"DK031",78.9254926344172,34.7167948140844,8.13889184526281,2.76216400540915
"10208",535,2004,"DK031",53.9984125800342,6.74635148012991,1.70024593410462,0.111995842323389
"10209",535,2005,"DK031",70.2205079041367,9.90287780440979,2.04606528249547,2.89965803782388
"10210",535,2006,"DK031",88.0578614946221,12.3084579514062,2.49985605319729,5.68732023332437
"10211",535,2007,"DK031",59.0937466053726,8.48511921428969,1.62468912675042,0.989423879412054
"10212",535,2008,"DK031",40.8948981568893,0.973062542623806,1.83032927048119,0.544997649377153
"10213",535,2009,"DK031",64.7163233867352,3.83714948655756,1.155405031857,1.40744557467017
"10214",535,2010,"DK031",95.8468486819178,4.25799049370357,0.393185822262046,1.69941852135564
"10215",535,2011,"DK031",101.622750017267,13.0074370432956,1.79546700097921,3.22322741498826
"10216",535,2012,"DK031",64.4119111676274,1.21747149091546,0.771024437259392,1.06942229864693
"10217",535,2013,"DK031",55.5850859341208,1.37409269315066,1.77859004403243,0.489422868367647
"10218",535,2014,"DK031",77.3949736661846,0.633444704554923,0.0167442293407665,3.33831729173574
"10219",535,2015,"DK031",39.4504400447896,1.05019267403932,0.0188151098499253,1.3032900892067
"10220",535,2016,"DK031",26.3462722236463,0.025041063270974,3.14897799238904,1.85669620158395
"10221",535,2017,"DK031",34.5071898516136,2.79148294764742,0.190852412520429,0.211798773730295
"10222",535,2018,"DK031",44.0187627147185,2.47974216257721,0.0115071856103294,10.2438690748926
"10223",535,2019,"DK031",40.469072805314,1.04181199410323,1.6836753138712,4.67157486418698
"10224",535,2020,"DK031",19.0717115648668,0,0,4.52509192217717
"10225",650,2003,"DK032",53.0032410758796,46.9063328919991,10.6069595348683,5.98361886862273
"10226",650,2004,"DK032",28.572131979429,12.8189753854938,1.67448986577621,0.885986695624936
"10227",650,2005,"DK032",40.0040636876916,18.2094541089065,2.33303692786985,4.45603526715944
"10228",650,2006,"DK032",53.2227590152074,21.0576083102428,3.04223093731388,8.02608383869395
"10229",650,2007,"DK032",33.4011942970337,11.7796757569212,1.68572788797703,1.67359546998457
"10230",650,2008,"DK032",24.589189035477,1.7745465626605,1.68618689872624,1.63256575742109
"10231",650,2009,"DK032",46.3352571269753,3.91421499005256,0.597162871336868,1.40944833771606
"10232",650,2010,"DK032",71.1648502860968,7.13998137054248,0.318237697585664,2.07180871147717
"10233",650,2011,"DK032",81.3780880485886,17.6603092787877,1.43896561229959,6.11839802361021
"10234",650,2012,"DK032",61.361680784662,2.42156067482248,0.942451983924022,1.27874049607253
"10235",650,2013,"DK032",38.8797013738675,1.53804760866643,1.35360704437947,0.696137818506587
"10236",650,2014,"DK032",57.2957718978395,0.522367721810072,0.0134867904367411,3.5927007743411
"10237",650,2015,"DK032",32.604532371494,0.414876528318155,0.618875675890088,1.521544566974
"10238",650,2016,"DK032",20.6498372455042,0.104548635282417,3.18540798207471,2.8127767401557
"10239",650,2017,"DK032",24.7666206248741,2.25234994224247,0.392161309001052,0.762551382380609
"10240",650,2018,"DK032",35.9426618707905,3.33029804993937,0.0462756532913183,12.0176423736188
"10241",650,2019,"DK032",32.5851164242902,1.4318896265819,2.62952785072973,4.4051793755885
"10242",650,2020,"DK032",13.7935351038619,0,0,4.37104148972112
"10243",575,2003,"DK041",33.5714344580837,48.8864592009349,6.30494950814219,1.14371437079957
"10244",575,2004,"DK041",13.5171677338338,13.4116415407817,0.573120704201945,0.768564175425313
"10245",575,2005,"DK041",19.2165447484751,20.4785133220243,1.99458276225383,2.82873646958918
"10246",575,2006,"DK041",28.3002247211919,25.3644278392512,1.37846136649244,4.88890876375305
"10247",575,2007,"DK041",14.7242948434255,13.9779944066625,0.0310351148839088,0.885774308797139
"10248",575,2008,"DK041",4.89918850243968,2.85273336429375,0.364725314625449,0.347894046533722
"10249",575,2009,"DK041",14.6728774358625,3.52109582103056,0,0.534176711430821
"10250",575,2010,"DK041",31.0738037749142,5.38150078368328,0,0.435421165747638
"10251",575,2011,"DK041",35.9722890487102,13.0129811111642,0.222416931651054,1.6252554319671
"10252",575,2012,"DK041",10.9069865141158,2.05903045773954,0,0.0904566503679532
"10253",575,2013,"DK041",10.9645897080021,1.80380121950617,0.295384397089398,0.031444843478244
"10254",575,2014,"DK041",17.4412534061979,0.218052309063941,0,1.60670971900012
"10255",575,2015,"DK041",6.84737434866669,0.277184191645916,0,0.414613531716747
"10256",575,2016,"DK041",5.01996440006415,0.700812507399406,2.99954929732229,2.30406262566047
"10257",575,2017,"DK041",6.0903453834484,1.60116359896293,0,0.0391640554989365
"10258",575,2018,"DK041",11.1371090521248,1.65842656360572,0,3.90195798588385
"10259",575,2019,"DK041",9.29670720735159,0.641700379465038,0.302757004469115,1.62600531134688
"10260",575,2020,"DK041",0.767749116415569,0,0,1.93774400264119
"10261",769,2003,"DK042",66.5393955588258,36.7335354108831,4.80499840981375,0.47341215744648
"10262",769,2004,"DK042",42.4228085291893,8.68181887628713,0.491632393619469,0.0679001255043687
"10263",769,2005,"DK042",54.8847960461077,17.0661574551522,2.00154467013852,1.51563830157526
"10264",769,2006,"DK042",73.1767242917708,20.9485719748912,0.99628291389494,2.96337647764615
"10265",769,2007,"DK042",42.8516474219121,13.2064036304927,0.694315058816856,1.15872218025169
"10266",769,2008,"DK042",38.3057639026384,2.14171984131065,1.35303779316942,0.0977318038338364
"10267",769,2009,"DK042",55.7054422602765,5.20864911828354,0.102822625941048,0.202950743618266
"10268",769,2010,"DK042",81.8225264969529,5.79534978071417,0.18134552151529,0.15060115135001
"10269",769,2011,"DK042",101.599365491984,16.9920021203705,0.391069952509903,0.605640842038245
"10270",769,2012,"DK042",46.0536481295073,1.56062037245741,0.0339311627038648,0.108857996352619
"10271",769,2013,"DK042",39.8543329306186,2.02732150249456,0.570675695004056,0.0471197153809962
"10272",769,2014,"DK042",66.5422761915633,1.75771627493513,0.00092926835933235,0.564015569769351
